------------------------------
      t       Prey   Predator
    912.00      0.00     23.93
    913.00      0.00     23.81
    914.00      0.00     23.69
    915.00      0.00     23.57
    916.00      0.00     23.46
    917.00      0.00     23.34
    918.00      0.00     23.22
    919.00      0.00     23.10
    920.00      0.00     22.99
    921.00      0.00     22.87
    922.00      0.00     22.76
    923.00      0.00     22.65
    924.00      0.00     22.53
    925.00      0.00     22.42
    926.00      0.00     22.31
    927.00      0.00     22.20
    928.00      0.00     22.09
    929.00      0.00     21.98
    930.00      0.00     21.87
    931.00      0.00     21.76
    932.00      0.00     21.65
    933.00      0.00     21.54
    934.00      0.00     21.43
    935.00      0.00     21.32
    936.00      0.00     21.22
    937.00      0.00     21.11
    938.00      0.00     21.01
    939.00      0.00     20.90
    940.00      0.00     20.80
    941.00      0.00     20.69
    942.00      0.00     20.59
    943.00      0.00     20.49
    944.00      0.00     20.38
    945.00      0.00     20.28
    946.00      0.00     20.18
    947.00      0.00     20.08
    948.00      0.00     19.98
    949.00      0.00     19.88
    950.00      0.00     19.78
    951.00      0.00     19.68
    952.00      0.00     19.58
    953.00      0.00     19.48
    954.00      0.00     19.39
    955.00      0.00     19.29
    956.00      0.00     19.19
    957.00      0.00     19.10
    958.00      0.00     19.00
    959.00      0.00     18.91
    960.00      0.00     18.81
    961.00      0.00     18.72
    962.00      0.00     18.63
    963.00      0.00     18.53
    964.00      0.00     18.44
    965.00      0.00     18.35
    966.00      0.00     18.26
    967.00      0.00     18.16
    968.00      0.00     18.07
    969.00      0.00     17.98
    970.00      0.00     17.89
    971.00      0.00     17.80
    972.00      0.00     17.71
    973.00      0.00     17.63
    974.00      0.00     17.54
    975.00      0.00     17.45
    976.00      0.00     17.36
    977.00      0.00     17.28
    978.00      0.00     17.19
    979.00      0.00     17.10
    980.00      0.00     17.02
    981.00      0.00     16.93
    982.00      0.00     16.85
    983.00      0.00     16.76
    984.00      0.00     16.68
    985.00      0.00     16.60
    986.00      0.00     16.51
    987.00      0.00     16.43
    988.00      0.00     16.35
    989.00      0.00     16.27
    990.00      0.00     16.19
    991.00      0.00     16.11
    992.00      0.00     16.02
    993.00      0.00     15.94
    994.00      0.00     15.86
    995.00      0.00     15.79
    996.00      0.00     15.71
    997.00      0.00     15.63
    998.00      0.00     15.55
    999.00      0.00     15.47
